camis,inspection_date,dba,boro,cuisine,zipcode,score,grade,action,inspection_type,latitude,longitude,n_violations,n_critical,year
50100843,2025-07-17,SQUARE PIZZA,Manhattan,Pizza,10002.0,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.719978602979,-73.984617431286,1,1,2025.0
50100867,2021-12-22,GONG CHA / POKE+,Manhattan,Coffee/Tea,10065.0,,,No violations were recorded at the time of this inspection.,Calorie Posting / Initial Inspection,40.767990846042,-73.963959821686,0,0,2021.0
50102205,2022-06-01,CHUNG CHING,Bronx,Chinese,,42.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,1,1,2022.0
50103422,2025-04-14,FLIK INTERNATIONAL,Manhattan,American,,10.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
50104962,2024-03-13,EMPANADAS RD,Bronx,Latin American,,16.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,0,2024.0
50104980,2025-01-14,5 STAR PIZZA,Bronx,Pizza,10467.0,24.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.879186211627,-73.874622131045,1,0,2025.0
50106008,2021-11-22,787 COFFEE,Manhattan,Coffee/Tea,10075.0,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Initial Inspection,40.774622152293,-73.956016693691,1,0,2021.0
50106949,2023-01-03,GUIRA & TAMBORA,Manhattan,Caribbean,,27.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,1,1,2023.0
50107045,2023-08-05,MAMA TACO,Manhattan,Tex-Mex,10034.0,,,No violations were recorded at the time of this inspection.,Smoke-Free Air Act / Initial Inspection,40.86938998294,-73.916615146727,0,0,2023.0
50107047,2023-02-17,KING BARKA,Manhattan,Caribbean,,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2023.0
50107047,2024-03-19,KING BARKA,Manhattan,Caribbean,,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Re-inspection,,,0,0,2024.0
50107477,2025-09-03,THE CHICKEN SHACK,Queens,Chicken,11106.0,0.0,Z,Establishment re-opened by DOHMH.,Cycle Inspection / Reopening Inspection,40.759913443018,-73.920990536259,0,0,2025.0
50107833,2021-08-30,FRESH IBAKERY,Brooklyn,Chinese,11214.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.601756371663,-73.99352516503,0,0,2021.0
50108252,2025-03-21,JOHNNY DELI & GROCERY,Queens,Spanish,11418.0,25.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.702165074727,-73.820190391864,1,1,2025.0
50108893,2024-10-04,LIFE CAFE,Manhattan,Other,10010.0,0.0,,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.742313468454,-73.991429199103,0,0,2024.0
50108971,2022-11-07,THE NUAA TABLE,Brooklyn,Thai,11238.0,38.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,40.679503705375,-73.968705593608,1,1,2022.0
50109862,2025-02-13,EAGLES BAR & GRILL,Queens,Mexican,11385.0,,,Violations were cited in the following area(s).,Smoke-Free Air Act / Initial Inspection,40.70344138623,-73.895439704453,1,0,2025.0
50111311,2023-08-16,CANTINA TAQUERIA & TEQUILIA BAR,Manhattan,Mexican,,27.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,0,2023.0
50111311,2025-05-14,CANTINA TAQUERIA & TEQUILIA BAR,Manhattan,Mexican,,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Initial Inspection,,,1,0,2025.0
50112010,2023-06-20,PANDA ABC,Brooklyn,Chinese,11203.0,21.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.641912337097,-73.9329496509,1,0,2023.0
50112311,2023-05-22,POPEYES,Brooklyn,Chicken,11215.0,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.668358518161,-73.993616002759,1,1,2023.0
50113015,2024-10-19,JERRELL'S BETR BRGR,Manhattan,Vegan,10013.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.723800252927,-74.004729762755,0,0,2024.0
50114424,2025-10-14,DE ISLANDS,Queens,Caribbean,11422.0,35.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.667459244379,-73.737304015489,1,1,2025.0
50115887,2025-05-22,TERIYAKI R US,Manhattan,Asian/Asian Fusion,10019.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Re-inspection,40.7598596835,-73.982334066518,0,0,2025.0
50118395,2025-08-07,EL COMEDOR RESTAURANTE,Brooklyn,Latin American,11220.0,51.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.641568795983,-74.013977156892,1,0,2025.0
50118549,2025-04-09,E&A'S BAKE N BREW,Queens,Coffee/Tea,11101.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.743160853683,-73.936568040473,0,0,2025.0
50118612,2022-09-13,AMY'S BREAD,Manhattan,Bakery Products/Desserts,10016.0,0.0,,No violations were recorded at the time of this inspection.,Pre-permit (Operational) / Compliance Inspection,40.745249038997,-73.980569585904,0,0,2022.0
50118657,2025-09-27,YAYA TEA,Brooklyn,Asian/Asian Fusion,11201.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.68985672822,-73.979720371884,0,0,2025.0
50118692,2022-10-26,BUBBY'S DINER,Queens,Bottled Beverages,11371.0,7.0,A,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,1,0,2022.0
50119681,2025-06-18,PACRIM,Manhattan,Asian/Asian Fusion,10017.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.754026849301,-73.968493587883,0,0,2025.0
50121050,2023-01-23,STEAM,Manhattan,Asian/Asian Fusion,10011.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.735654976226,-73.998065899608,0,0,2023.0
50121215,2025-04-26,J'S KITCHEN NEW YORK,Manhattan,Japanese,10003.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.7320908592,-73.981894039686,0,0,2025.0
50122073,2025-06-25,ARAMARK SERVICES,Manhattan,Fusion,,17.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
50122076,2022-08-09,ARAMARK SERVICES INC,Manhattan,Fusion,,0.0,A,No violations were recorded at the time of this inspection.,Pre-permit (Operational) / Initial Inspection,,,0,0,2022.0
50122417,2024-11-07,KINSHIP COFFEE,Queens,Coffee/Tea,11103.0,12.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.763422719285,-73.915358510686,1,1,2024.0
50122470,2023-11-22,SEA TO SOUL,Manhattan,Soul Food,,,,Violations were cited in the following area(s).,Smoke-Free Air Act / Initial Inspection,,,1,0,2023.0
50122709,2024-07-05,CARIBBEAN KRAVE,Manhattan,Caribbean,,17.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2024.0
50122846,2025-08-06,IPIZZANY,Manhattan,Pizza,10016.0,57.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.744677255478,-73.97596120472,1,1,2025.0
50123805,2024-02-05,QK Restaurant Inc.,Queens,Chinese,11355.0,71.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.75003950242,-73.818519551091,1,1,2024.0
50124193,2025-01-16,TONG,Queens,Bangladeshi,11432.0,38.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.707304619179,-73.804237742715,1,1,2025.0
50124741,2024-04-23,BELLA PIZZA RESTAURANT,Queens,Pizza,11101.0,21.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.740894476293,-73.933138349813,1,1,2024.0
50126220,2024-12-23,HARLEM CAFE,Manhattan,American,,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2024.0
50126843,2025-02-04,KRAZY CHICKEN AND WINGS,Brooklyn,American,11233.0,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.681783253828,-73.928820803386,1,0,2025.0
50127279,2025-01-13,LA VILLA RESTAURANT,Bronx,Mexican,10463.0,25.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.87961706138,-73.906223657943,1,0,2025.0
50128085,2025-06-10,MIKE'S COFFEE SHOP,Brooklyn,American,11205.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.68974350885,-73.965397762618,0,0,2025.0
50128104,2025-01-29,LIBERTY RESTAURANT,Queens,Fusion,11419.0,,,No violations were recorded at the time of this inspection.,Trans Fat / Re-inspection,40.689365145503,-73.816081875288,0,0,2025.0
50128207,2024-01-16,OCKY FRIED CHICKEN & PIZZA,Bronx,Chicken,10451.0,50.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.818663793272,-73.927705571766,1,1,2024.0
50128307,2022-10-19,HAVELI INDIAN RESTAURANT & LOUNGE,Queens,Indian,,28.0,,Violations were cited in the following area(s).,Pre-permit (Non-operational) / Initial Inspection,,,1,0,2022.0
50128307,2023-04-06,HAVELI INDIAN RESTAURANT & LOUNGE,Queens,Indian,,10.0,A,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,1,1,2023.0
50129283,2025-04-09,HELLO BANGLADESH,Queens,Bangladeshi,11106.0,24.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.756892068051,-73.930404237104,1,1,2025.0
50129374,2024-01-25,ROYAL QUEEN,Queens,Chinese,11354.0,50.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.759777908235,-73.829235428489,1,1,2024.0
50130050,2025-05-17,SCARR'S PIZZA,Manhattan,Pizza,10002.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.715735905626,-73.991465095733,0,0,2025.0
50130631,2024-07-02,Yong Sheng Garden Chinese Restaurant,Manhattan,Chinese,,82.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
50131689,2025-09-17,SIDE BAR,Manhattan,Bottled Beverages,10001.0,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2025.0
50132255,2023-06-13,THE CHUBBY CRAB,Manhattan,Seafood,10002.0,19.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,40.717248448376,-73.994289492293,1,1,2023.0
50132762,2023-06-28,MIKADO,Queens,Japanese,11418.0,27.0,B,Violations were cited in the following area(s).,Pre-permit (Operational) / Re-inspection,40.707400728788,-73.835736242986,1,0,2023.0
50132816,2025-02-14,NERO.LAB CAFE,Manhattan,Italian,10022.0,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.762501364873,-73.974286993203,1,0,2025.0
50133259,2023-05-24,PAIN DE VIE,Queens,Caribbean,11429.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Re-inspection,40.713191396399,-73.735470988375,0,0,2023.0
